TRIBUNAL,UF,MUNICIPIO,CODIGO,NOME,TIPO,CLASSIFICACAO
TJMG,MG,ALFENAS,3746,1ª VARA CRIMINAL -  DE ATOS INFRACIONAIS DA INFÂNCIA E DA JUVENTUDE E DE CARTAS PRECATÓRIAS CRIMINAIS DA COMARCA DE ALFENAS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PALMEIRA DAS MISSOES,3747,1ª Vara Criminal - Palmeira das Missões/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3748,13ª VARA CRIMINAL - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,ROSARIO DO SUL,3749,1ª VARA JUDICIAL - ROSÁRIO DO SUL/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,CONCEICAO DAS ALAGOAS,3750,1ª VARA CÍVEL -  CRIMINAL E DA INFÂNCIA E DA JUVENTUDE DA COMARCA DE CONCEIÇÃO DAS ALAGOAS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,ROSARIO DO SUL,3751,2ª VARA JUDICIAL - ROSÁRIO DO SUL/RS,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJRS,RS,PALMEIRA DAS MISSOES,3752,1ª Vara Cível - Palmeira das Missões/RS,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJMG,MG,ABRE CAMPO,3753,1VARA CÍVEL -  CRIMINAL E DA INFÂNCIA E DA JUVENTUDE DA COMARCA DE ABRE CAMPO,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,SALTO DO JACUI,3754,VARA JUDICIAL - SALTO DO JACUÍ/RS,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJRS,RS,PALMEIRA DAS MISSOES,3755,2ª Vara Cível - Palmeira das Missões/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,CONQUISTA,3756,VARA ÚNICA DA COMARCA DE CONQUISTA,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,NEPOMUCENO,3757,VARA ÚNICA DA COMARCA DE NEPOMUCENO,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ALFENAS,3758,2ª VARA CÍVEL DA COMARCA DE ALFENAS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,SANANDUVA,3759,Vara Judicial - Sananduva/RS,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJRS,RS,PELOTAS,3762,VARA DA DIREÇÃO DO FORO - PELOTAS/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,SANTA BARBARA DO SUL,3763,VARA JUDICIAL - SANTA BÁRBARA DO SUL/RS,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJMG,MG,AÇUCENA,3764,VARA ÚNICA DA COMARCA DE AÇUCENA,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,DORES DO INDAIA,3765,VARA ÚNICA DA COMARCA DE DORES DO INDAIÁ,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PASSO FUNDO,3766,VARA DA DIREÇÃO DO FORO - PASSO FUNDO/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,AGUAS FORMOSAS,3767,VARA ÚNICA DA COMARCA DE ÁGUAS FORMOSAS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,SANTA VITORIA DO PALMAR,3768,1ª Vara Cível - Santa Vitória do Palmar/RS,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJMG,MG,ALFENAS,3770,VARA CÍVEL DA INFÂNCIA E DA JUVENTUDE -  DE FAMÍLIA E SUCESSÕES DA COMARCA DE ALFENAS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ALFENAS,3771,UNIDADE JURISDICIONAL ÚNICA DO JUIZADO ESPECIAL DE ALFENAS,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJMG,MG,ESTRELA DO SUL,3772,VARA ÚNICA DA COMARCA DE ESTRELA DO SUL,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,SANTA VITORIA DO PALMAR,3773,Vara Criminal - Santa Vitória do Palmar/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PASSO FUNDO,3774,1ª VARA CÍVEL ESPECIALIZADA EM FAZENDA PÚBLICA - PASSO FUNDO/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ALPINÓPOLIS,3775,VARA ÚNICA DA COMARCA DE ALPINÓPOLIS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,SANTA VITORIA DO PALMAR,3776,2ª Vara Cível - Santa Vitória do Palmar/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,CASSIA,3777,2ª VARA CÍVEL -  CRIMINAL E DE EXECUÇÕES PENAIS DA COMARCA DE CÁSSIA,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,IBIA,3778,VARA ÚNICA DA COMARCA DE IBIÁ,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ALTO RIO DOCE,3779,VARA ÚNICA DA COMARCA DE ALTO RIO DOCE,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,IGUATAMA,3780,VARA ÚNICA DA COMARCA DE IGUATAMA,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,PARAIBANO,3781,VARA ÚNICA DE PARAIBANO,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,NOVA RESENDE,3782,VARA ÚNICA DA COMARCA DE NOVA RESENDE,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PASSO FUNDO,3783,2ª VARA CÍVEL ESPECIALIZADA EM FAMÍLIA E SUCESSÕES - PASSO FUNDO/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,AIMORES,3784,VARA ÚNICA DA COMARCA DE AIMORÉS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,BARROSO,3786,VARA ÚNICA DA COMARCA DE BARROSO,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,PARNARAMA,3787,VARA ÚNICA DE PARNARAMA,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMA,MA,PASSAGEM FRANCA,3788,VARA ÚNICA DE PASSAGEM FRANCA,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,ANDRADAS,3790,1ª VARA CÍVEL -  CRIMINAL E DA INFÂNCIA E DA JUVENTUDE DA COMARCA DE ANDRADAS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,PASTOS BONS,3791,VARA ÚNICA DE PASTOS BONS,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,ITAPAGIPE,3792,VARA ÚNICA DA COMARCA DE ITAPAGIPE,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PASSO FUNDO,3793,3ª VARA CÍVEL - PASSO FUNDO/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,PAULO RAMOS,3794,VARA ÚNICA DE PAULO RAMOS,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMA,MA,PENALVA,3795,VARA ÚNICA DE PENALVA,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,BICAS,3796,VARA ÚNICA DA COMARCA DE BICAS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ANDRADAS,3797,2ª VARA CÍVEL -  CRIMINAL E DE EXECUÇÕES PENAIS DA COMARCA DE ANDRADAS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,PINDARÉ-MIRIM,3798,VARA ÚNICA DE PINDARÉ-MIRIM,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,LUZ,3799,VARA ÚNICA DA COMARCA DE LUZ,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,PIO XII,3801,VARA ÚNICA DE PIO XII,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJRS,RS,PASSO FUNDO,3802,4ª VARA CÍVEL - PASSO FUNDO/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,POCAO DE PEDRAS,3803,VARA ÚNICA DE POÇÃO DE PEDRAS,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,ALMENARA,3804,1ª VARA CÍVEL -  CRIMINAL E DE EXECUÇÕES PENAIS DA COMARCA DE ALMENARA,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,RAPOSA,3805,VARA ÚNICA DE RAPOSA,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,MARTINHO CAMPOS,3806,VARA ÚNICA DA COMARCA DE MARTINHO CAMPOS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,ROSARIO,3807,1ª VARA DE ROSÁRIO,Unidades judiciárias de primeiro grau,VJE - Vara com juizado especial adjunto
TJMG,MG,CARANDAI,3808,VARA ÚNICA DA COMARCA DE CARANDAÍ,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ANDRELÂNDIA,3809,VARA ÚNICA DA COMARCA DE ANDRELÂNDIA,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PASSO FUNDO,3810,5ª VARA CÍVEL - PASSO FUNDO/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3811,4ª VARA CRIMINAL - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,SANTA LUZIA DO PARUA,3812,VARA ÚNICA DE SANTA LUZIA DO PARUÁ,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,MONTES CLAROS,3813,1ª VARA CÍVEL DA COMARCA DE MONTES CLAROS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PELOTAS,3814,1ª VARA CÍVEL - PELOTAS/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMS,MS,CAMPO GRANDE,3815,CAMPO GRANDE - AUDITORIA MILITAR,Unidades judiciárias de primeiro grau,AM - Auditoria Militar
TJMG,MG,MONTE ALEGRE DE MINAS,3816,VARA ÚNICA DA COMARCA DE MONTE ALEGRE DE MINAS,Unidades judiciárias de primeiro grau,V - Vara
TJMA,MA,SANTA QUITERIA DO MARANHAO,3817,VARA ÚNICA DE SANTA QUITÉRIA DO MARANHÃO,Unidades judiciárias de primeiro grau,O1 - outras unidades judiciárias de primeiro grau
TJMG,MG,ALMENARA,3819,2ª VARA CÍVEL -  CRIMINAL E DA INFÂNCIA E DA JUVENTUDE DA COMARCA DE ALMENARA,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,DIVINO,3820,VARA ÚNICA DA COMARCA DE DIVINO,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3821,VARA CÍVEL - FORO REGIONAL TRISTEZA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PASSO FUNDO,3822,1ª Vara Criminal especializada em Júri - Passo Fundo/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,MORADA NOVA DE MINAS,3823,VARA ÚNICA DA COMARCA DE MORADA NOVA DE MINAS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3824,VARA DE FAMÍLIA - FORO REGIONAL TRISTEZA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3825,VARA CÍVEL - FORO REGIONAL RESTINGA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,ENTRE RIOS DE MINAS,3826,VARA ÚNICA DA COMARCA DE ENTRE RIOS DE MINAS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3827,3ª VARA CRIMINAL - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,BELO HORIZONTE,3828,4ª VARA CÍVEL DA COMARCA DE BELO HORIZONTE,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,MONTES CLAROS,3829,2ª VARA CÍVEL DA COMARCA DE MONTES CLAROS,Unidades judiciárias de primeiro grau,V - Vara
TJMG,MG,NOVA PONTE,3830,VARA ÚNICA DA COMARCA DE NOVA PONTE,Unidades judiciárias de primeiro grau,V - Vara
